id;description;montant;type_charge;date_debut;date_fin
1;invoice auxiliary;25230;ENTRETIEN;2020-06-05;2020-06-06
2;Bacon indexing Causeway;35389;ENTRETIEN;2020-06-06;2020-06-06
3;Rand Namibia Dollar deposit;76965;ENTRETIEN;2020-06-06;2020-06-05
4;Plain;91545;ENTRETIEN;2020-06-05;2020-06-06
5;Solutions;68424;ENTRETIEN;2020-06-05;2020-06-06
6;Balboa US Dollar;53581;VIGNETTE;2020-06-05;2020-06-05
7;Jordanian Dinar;69380;VIGNETTE;2020-06-06;2020-06-06
8;grow Analyst Colombia;46290;ENTRETIEN;2020-06-05;2020-06-06
9;Netherlands Antillian Guilder Practical index;90687;ASSURENCE;2020-06-06;2020-06-06
10;Rubber redundant solid state;32805;ENTRETIEN;2020-06-05;2020-06-06
