id;description;resultat;date_examen;point_depart;type_examen
1;Human;REFUSE;2020-06-04T14:57:50;British Indian Ocean Territory (Chagos Archipelago) Tennessee;CONDUIT
2;Sleek Concrete Bike black;ADMIN;2020-06-05T10:50:25;Integration;CODE
3;IB virtual;ADMIN;2020-06-05T05:22:09;mobile dedicated;CONDUIT
4;Overpass orange Practical;REFUSE;2020-06-04T18:34:49;Fiji Dollar;CODE
5;users deposit gold;ADMIN;2020-06-05T08:56:32;impactful;CONDUIT
6;Frozen;REFUSE;2020-06-05T02:30:17;port Nepalese Rupee concept;CODE
7;SMS;REFUSE;2020-06-05T14:47:37;Investment Account Rustic Wooden Bacon;CONDUIT
8;Internal cross-platform;ADMIN;2020-06-05T03:16:41;maximize payment;CODE
9;invoice;ADMIN;2020-06-04T18:00:19;overriding;CONDUIT
10;hard drive Operations program;REFUSE;2020-06-04T16:42:02;Implementation;CODE
