id;date_debut;duree;type_seance;note;point_depart;number_seance
1;2020-06-06T00:46:43;68397;CODE;zero defect synergistic;Ouguiya transition Plastic;52900
2;2020-06-06T05:51:01;93655;CONDUIT;Cambridgeshire Neck;Illinois;11308
3;2020-06-05T21:27:38;18715;CONDUIT;eyeballs;Arkansas;62505
4;2020-06-06T01:39:35;33837;CONDUIT;Rupiah;Auto Loan Account;83574
5;2020-06-05T17:20:17;70890;CODE;Assurance Berkshire;Ferry implement innovative;15811
6;2020-06-05T14:23:47;26328;CONDUIT;ubiquitous;architecture mobile virtual;5703
7;2020-06-06T02:04:17;3473;CODE;Keyboard mobile Licensed Granite Pants;Generic Soft Ball;37202
8;2020-06-06T07:59:35;83675;CODE;Dynamic Chief projection;IB;67495
9;2020-06-05T14:22:31;41821;CONDUIT;Fresh;Palladium;2656
10;2020-06-05T09:58:47;97780;CODE;concept contingency;Metal Tasty;57925
