id;matricule;marque;age;description;color;image_url
1;Gorgeous;Credit Card Account Agent programming;20776;ROI Berkshire;pink;e-business
2;national;Savings Account;53394;Bedfordshire Avon leading-edge;cyan;Awesome Cotton Pizza connecting Borders
3;Investment Account Architect Jewelery;blue B2B;9728;Integration;lavender;Branding
4;International bleeding-edge;Vista global;9104;Tasty Concrete Gloves Credit Card Account;blue;real-time
5;parse unleash;Sharable Industrial;14664;syndicate;silver;digital
6;Mobility;grow Cotton;27989;Jewelery;salmon;hacking bypassing
7;Metal Facilitator optical;AGP Saint Martin;89122;El Salvador Delaware;azure;Mouse payment SMS
8;connect;Manager monitor JSON;4873;New Hampshire productize parsing;blue;modular Designer Small Plastic Shirt
9;TCP;Jewelery JSON;63169;invoice strategic;green;Representative
10;Open-architected one-to-one capability;Massachusetts Table;52816;quantify;fuchsia;red
