id;date_debut;date_fin;prix
1;Rubber;bypass Corners service-desk;88457
2;Group deposit;Grove;38746
3;index productize Refined Metal Chair;alliance engage;25674
4;copying;communities;725
5;Meadow Rustic;Checking Account Guinea Franc;25419
6;Kenyan Shilling Kids parse;ADP Unbranded;59003
7;copying Center hacking;Buckinghamshire Delaware payment;97480
8;Unbranded Plastic Bacon SDD violet;Associate;24700
9;Future-proofed Rustic;Designer;78286
10;parsing HDD;Licensed encompassing Practical Wooden Keyboard;82472
